category,feature,value
Activity,exertion,88.64
Activity,steps,1.96
Activity,minutes,6.65
Activity,type,2.75
Sleep,affect,87.82
Sleep,duration,4.42
Sleep,score,7.73
Stress,previous,53.43
Stress,mean,46.54
Health,calories,32.53
Health,heart rate,66.98
Health,sickness,0.47
Date,day of week,42.4
Date,week,8.08
Date,month,18.8
Date,day,26.79
Date,hour,4.23
Demographics,weight,61.2
Demographics,age,14.4
Demographics,gender,5.83
Demographics,country,18.6
Disposal,badges earned,100
