day,month,stress
1,December,79.98
2,December,78.0
3,December,88.0
4,December,91.0
5,December,91.0
6,December,79.98
7,December,79.98
8,December,79.98
9,December,87.0
10,December,88.0
11,December,83.0
12,December,79.98
13,December,79.98
14,December,89.0
15,December,93.0
16,December,79.0
17,December,79.0
18,December,77.0
19,December,85.0
20,December,83.0
21,December,73.0
22,December,79.98
23,December,79.0
24,December,79.98
25,December,79.98
26,December,84.0
27,December,83.0
28,December,79.98
29,December,79.98
30,December,75.0
31,December,77.0
