day,month,stress
19,November,78.0
20,November,68.0
21,November,79.98
22,November,79.98
23,November,68.0
24,November,79.98
25,November,77.0
26,November,81.0
27,November,90.0
28,November,79.98
29,November,79.98
30,November,89.0
1,December,79.98
2,December,78.0
3,December,88.0
4,December,91.0
5,December,91.0
6,December,79.98
7,December,79.98
8,December,79.98
9,December,87.0
10,December,88.0
11,December,83.0
12,December,79.98
13,December,79.98
14,December,89.0
15,December,93.0
16,December,79.0
17,December,79.0
18,December,77.0
19,December,85.0
20,December,83.0
21,December,73.0
22,December,79.98
23,December,79.0
24,December,79.98
25,December,79.98
26,December,84.0
27,December,83.0
28,December,79.98
29,December,79.98
30,December,75.0
31,December,77.0
1,January,79.98
2,January,79.98
3,January,80.0
4,January,84.0
5,January,79.98
6,January,80.0
7,January,79.98
8,January,79.98
9,January,79.98
10,January,79.98
11,January,81.0
12,January,79.98
13,January,81.0
14,January,79.98
15,January,79.0
16,January,79.98
17,January,83.0
18,January,81.0
19,January,77.0
20,January,84.0
21,January,80.0
22,January,79.0
23,January,75.0
24,January,79.0
25,January,79.98
26,January,79.98
27,January,78.0
28,January,78.0
29,January,83.0
30,January,79.98
31,January,76.0
1,February,82.0
2,February,88.0
3,February,79.98
4,February,79.98
5,February,79.98
6,February,79.98
7,February,79.0
8,February,79.98
9,February,79.98
10,February,79.98
11,February,79.98
12,February,79.98
13,February,75.0
14,February,82.0
15,February,87.0
16,February,79.98
17,February,72.0
18,February,80.0
19,February,79.98
20,February,70.0
21,February,79.0
22,February,78.0
23,February,74.0
24,February,76.0
25,February,68.0
26,February,75.0
27,February,79.98
28,February,72.0
1,March,73.0
2,March,70.0
3,March,79.98
4,March,71.0
5,March,72.0
6,March,79.98
7,March,79.98
8,March,74.0
9,March,79.98
10,March,79.98
11,March,75.0
12,March,79.98
13,March,65.0
14,March,75.0
15,March,87.0
16,March,79.98
17,March,72.0
18,March,79.98
19,March,82.0
20,March,79.98
21,March,79.98
22,March,79.98
23,March,79.98
24,March,84.0
25,March,79.98
26,March,79.98
27,March,79.98
28,March,87.0
29,March,84.0
30,March,80.0
31,March,86.0
1,April,79.98
2,April,79.0
3,April,78.0
4,April,81.0
5,April,79.98
6,April,74.0
7,April,63.0
8,April,79.98
9,April,79.98
10,April,79.98
11,April,79.98
12,April,81.0
13,April,79.98
14,April,79.98
15,April,79.98
16,April,73.0
17,April,79.98
18,April,79.98
19,April,75.0
20,April,73.0
21,April,74.0
22,April,85.0
23,April,79.98
24,April,74.0
25,April,79.0
26,April,79.98
27,April,79.98
28,April,79.98
29,April,79.98
30,April,79.98
1,May,79.98
2,May,79.98
3,May,79.98
4,May,79.98
5,May,79.98
6,May,79.98
7,May,79.0
8,May,84.0
9,May,79.98
10,May,79.98
11,May,74.0
12,May,78.0
13,May,79.98
14,May,79.98
15,May,76.0
16,May,79.98
17,May,79.98
18,May,77.0
19,May,78.0
20,May,79.98
21,May,75.0
22,May,76.0
23,May,75.0
24,May,83.0
25,May,77.0
26,May,82.0
27,May,91.0
28,May,91.0
29,May,85.0
30,May,79.98
31,May,79.98
1,June,85.0
2,June,85.0
3,June,79.98
4,June,85.0
5,June,80.0
6,June,79.98
7,June,79.98
8,June,79.98
9,June,75.0
10,June,79.98
11,June,79.98
12,June,69.0
13,June,79.98
14,June,79.0
15,June,79.98
16,June,79.98
17,June,79.98
18,June,79.98
19,June,79.98
20,June,79.98
21,June,79.98
22,June,80.0
23,June,81.0
24,June,79.98
25,June,75.0
26,June,70.0
27,June,76.0
28,June,76.0
29,June,87.0
30,June,79.0
1,July,80.0
2,July,84.0
3,July,87.0
4,July,79.98
5,July,79.98
6,July,76.0
7,July,79.0
8,July,83.0
9,July,85.0
10,July,87.0
11,July,79.98
12,July,79.98
13,July,82.0
14,July,72.0
15,July,79.98
16,July,81.0
17,July,79.98
18,July,77.0
19,July,87.0
20,July,85.0
21,July,90.0
22,July,72.0
23,July,82.0
24,July,79.98
25,July,79.98
26,July,81.0
